Site,Year,Month,Layer,Group,Genus,Variable,Value,Unit,SamplingMethodID,MethodID
Giles,1992,8,whole_column,Calanoid copepod,unidentified,Abundance,17,NumberPerLiter,Method024,Method029
Giles,1992,9,whole_column,Calanoid copepod,unidentified,Abundance,23.81,NumberPerLiter,Method024,Method029
Giles,1992,10,whole_column,Calanoid copepod,unidentified,Abundance,12.94,NumberPerLiter,Method024,Method029
Giles,1992,11,whole_column,Calanoid copepod,unidentified,Abundance,13.78,NumberPerLiter,Method024,Method029
Giles,1993,1,whole_column,Calanoid copepod,unidentified,Abundance,14.93,NumberPerLiter,Method024,Method029
Giles,1993,2,whole_column,Calanoid copepod,unidentified,Abundance,9.73,NumberPerLiter,Method024,Method029
Giles,1993,3,whole_column,Calanoid copepod,unidentified,Abundance,10.04,NumberPerLiter,Method024,Method029
Giles,1993,4,whole_column,Calanoid copepod,unidentified,Abundance,9.56,NumberPerLiter,Method024,Method029
Giles,1993,5,whole_column,Calanoid copepod,unidentified,Abundance,17.6,NumberPerLiter,Method024,Method029
Giles,1993,6,whole_column,Calanoid copepod,unidentified,Abundance,31.01,NumberPerLiter,Method024,Method029
Giles,1993,7,whole_column,Calanoid copepod,unidentified,Abundance,33.33,NumberPerLiter,Method024,Method029
Giles,1993,8,whole_column,Calanoid copepod,unidentified,Abundance,29.59,NumberPerLiter,Method024,Method029
Giles,1993,9,whole_column,Calanoid copepod,unidentified,Abundance,9.83,NumberPerLiter,Method024,Method029
Giles,1993,11,whole_column,Calanoid copepod,unidentified,Abundance,24.36,NumberPerLiter,Method024,Method029
Giles,1997,4,whole_column,Calanoid copepod,unidentified,Abundance,14.26,NumberPerLiter,Method024,Method029
Giles,1997,6,whole_column,Calanoid copepod,unidentified,Abundance,37.11,NumberPerLiter,Method024,Method029
Giles,1997,8,whole_column,Calanoid copepod,unidentified,Abundance,80.82,NumberPerLiter,Method024,Method029
Giles,2001,6,whole_column,Calanoid copepod,unidentified,Abundance,49,NumberPerLiter,Method024,Method029
Giles,2001,7,whole_column,Calanoid copepod,unidentified,Abundance,39.25,NumberPerLiter,Method024,Method029
Giles,2001,8,whole_column,Calanoid copepod,unidentified,Abundance,40.38,NumberPerLiter,Method024,Method029
Giles,2005,5,whole_column,Calanoid copepod,unidentified,Abundance,18.39,NumberPerLiter,Method024,Method029
Giles,2005,6,whole_column,Calanoid copepod,unidentified,Abundance,17.99,NumberPerLiter,Method024,Method029
Giles,2005,7,whole_column,Calanoid copepod,unidentified,Abundance,20.51,NumberPerLiter,Method024,Method029
Giles,2005,8,whole_column,Calanoid copepod,unidentified,Abundance,29.59,NumberPerLiter,Method024,Method029
Giles,2006,5,whole_column,Calanoid copepod,unidentified,Abundance,27.94,NumberPerLiter,Method024,Method029
Giles,2006,6,whole_column,Calanoid copepod,unidentified,Abundance,49.51,NumberPerLiter,Method024,Method029
Giles,2006,7,whole_column,Calanoid copepod,unidentified,Abundance,26.88,NumberPerLiter,Method024,Method029
Giles,2006,8,whole_column,Calanoid copepod,unidentified,Abundance,19.81,NumberPerLiter,Method024,Method029
Giles,2007,5,whole_column,Calanoid copepod,unidentified,Abundance,10.36,NumberPerLiter,Method024,Method029
Giles,2007,6,whole_column,Calanoid copepod,unidentified,Abundance,22.31,NumberPerLiter,Method024,Method029
Giles,2007,7,whole_column,Calanoid copepod,unidentified,Abundance,26.67,NumberPerLiter,Method024,Method029
Giles,2007,8,whole_column,Calanoid copepod,unidentified,Abundance,62,NumberPerLiter,Method024,Method029
Giles,2008,4,whole_column,Calanoid copepod,unidentified,Abundance,12.6,NumberPerLiter,Method023,Method029
Giles,2008,5,whole_column,Calanoid copepod,unidentified,Abundance,8.89,NumberPerLiter,Method023,Method029
Giles,2008,6,whole_column,Calanoid copepod,unidentified,Abundance,16.91,NumberPerLiter,Method023,Method029
Giles,2008,7,whole_column,Calanoid copepod,unidentified,Abundance,4.16,NumberPerLiter,Method023,Method029
Giles,2008,8,whole_column,Calanoid copepod,unidentified,Abundance,1.62,NumberPerLiter,Method023,Method029
Giles,2009,4,whole_column,Calanoid copepod,unidentified,Abundance,0.75,NumberPerLiter,Method023,Method029
Giles,2009,5,whole_column,Calanoid copepod,unidentified,Abundance,3.53,NumberPerLiter,Method023,Method029
Giles,2009,6,whole_column,Calanoid copepod,unidentified,Abundance,6.15,NumberPerLiter,Method023,Method029
Giles,2009,7,whole_column,Calanoid copepod,unidentified,Abundance,2.47,NumberPerLiter,Method023,Method029
Giles,2009,8,whole_column,Calanoid copepod,unidentified,Abundance,2.91,NumberPerLiter,Method023,Method029
Giles,2010,5,whole_column,Calanoid copepod,unidentified,Abundance,4.55,NumberPerLiter,Method023,Method029
Giles,2010,6,whole_column,Calanoid copepod,unidentified,Abundance,14.1,NumberPerLiter,Method023,Method029
Giles,2010,7,whole_column,Calanoid copepod,unidentified,Abundance,16.99,NumberPerLiter,Method023,Method029
Giles,2010,8,whole_column,Calanoid copepod,unidentified,Abundance,8.97,NumberPerLiter,Method023,Method029
Giles,2010,9,whole_column,Calanoid copepod,unidentified,Abundance,12.13,NumberPerLiter,Method023,Method029
Giles,2011,5,whole_column,Calanoid copepod,unidentified,Abundance,5.43,NumberPerLiter,Method023,Method029
Giles,2011,6,whole_column,Calanoid copepod,unidentified,Abundance,7.31,NumberPerLiter,Method023,Method029
Giles,2011,7,whole_column,Calanoid copepod,unidentified,Abundance,7.19,NumberPerLiter,Method023,Method029
Giles,2011,8,whole_column,Calanoid copepod,unidentified,Abundance,7.74,NumberPerLiter,Method023,Method029
Giles,2013,4,whole_column,Calanoid copepod,unidentified,Abundance,4.87,NumberPerLiter,Method023,Method029
Giles,2013,5,whole_column,Calanoid copepod,unidentified,Abundance,6.33,NumberPerLiter,Method023,Method029
Giles,2013,6,whole_column,Calanoid copepod,unidentified,Abundance,3.16,NumberPerLiter,Method023,Method029
Giles,2013,7,whole_column,Calanoid copepod,unidentified,Abundance,3.1,NumberPerLiter,Method023,Method029
Giles,2013,8,whole_column,Calanoid copepod,unidentified,Abundance,3.18,NumberPerLiter,Method023,Method029
Giles,2014,6,whole_column,Calanoid copepod,unidentified,Abundance,12.57,NumberPerLiter,Method023,Method029
Giles,2014,7,whole_column,Calanoid copepod,unidentified,Abundance,6.97,NumberPerLiter,Method023,Method029
Giles,2014,8,whole_column,Calanoid copepod,unidentified,Abundance,3.94,NumberPerLiter,Method023,Method029
Giles,2015,5,whole_column,Calanoid copepod,unidentified,Abundance,2.59,NumberPerLiter,Method023,Method029
Giles,2015,6,whole_column,Calanoid copepod,unidentified,Abundance,2.4,NumberPerLiter,Method023,Method029
Giles,2015,7,whole_column,Calanoid copepod,unidentified,Abundance,0,NumberPerLiter,Method023,Method029
Giles,2015,8,whole_column,Calanoid copepod,unidentified,Abundance,3.81,NumberPerLiter,Method023,Method029
Giles,2016,5,whole_column,Calanoid copepod,unidentified,Abundance,14.85,NumberPerLiter,Method023,Method029
Giles,2016,6,whole_column,Calanoid copepod,unidentified,Abundance,25.85,NumberPerLiter,Method023,Method029
Giles,2016,7,whole_column,Calanoid copepod,unidentified,Abundance,13.4,NumberPerLiter,Method023,Method029
Giles,2016,8,whole_column,Calanoid copepod,unidentified,Abundance,29.11,NumberPerLiter,Method023,Method029
Giles,2017,5,whole_column,Calanoid copepod,unidentified,Abundance,24.48,NumberPerLiter,Method023,Method029
Giles,2017,6,whole_column,Calanoid copepod,unidentified,Abundance,27.93,NumberPerLiter,Method023,Method029
Giles,2017,7,whole_column,Calanoid copepod,unidentified,Abundance,24.44,NumberPerLiter,Method023,Method029
Giles,2017,8,whole_column,Calanoid copepod,unidentified,Abundance,49.08,NumberPerLiter,Method023,Method029
Giles,2018,5,whole_column,Calanoid copepod,unidentified,Abundance,18.59,NumberPerLiter,Method023,Method029
Giles,2018,6,whole_column,Calanoid copepod,unidentified,Abundance,13.65,NumberPerLiter,Method023,Method029
Giles,2018,7,whole_column,Calanoid copepod,unidentified,Abundance,18.84,NumberPerLiter,Method023,Method029
Giles,2018,8,whole_column,Calanoid copepod,unidentified,Abundance,9.98,NumberPerLiter,Method023,Method029
Giles,2019,4,whole_column,Calanoid copepod,unidentified,Abundance,28.13,NumberPerLiter,Method023,Method029
Giles,2019,5,whole_column,Calanoid copepod,unidentified,Abundance,31.08,NumberPerLiter,Method023,Method029
Giles,2019,6,whole_column,Calanoid copepod,unidentified,Abundance,19.62,NumberPerLiter,Method023,Method029
Giles,2019,7,whole_column,Calanoid copepod,unidentified,Abundance,16.51,NumberPerLiter,Method023,Method029
Giles,2019,8,whole_column,Calanoid copepod,unidentified,Abundance,19.8,NumberPerLiter,Method023,Method029
Giles,1990,1,whole_column,Cyclopoid copepod,unidentified,Abundance,1.28,NumberPerLiter,Method024,Method029
Giles,1990,1,whole_column,Cyclopoid copepod,unidentified,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,2,whole_column,Cyclopoid copepod,unidentified,Abundance,4.75,NumberPerLiter,Method024,Method029
Giles,1990,2,whole_column,Cyclopoid copepod,unidentified,Abundance,0.06,NumberPerLiter,Method026,Method028
Giles,1990,3,whole_column,Cyclopoid copepod,unidentified,Abundance,1.64,NumberPerLiter,Method024,Method029
Giles,1990,3,whole_column,Cyclopoid copepod,unidentified,Abundance,0.27,NumberPerLiter,Method026,Method028
Giles,1990,4,whole_column,Cyclopoid copepod,unidentified,Abundance,2.07,NumberPerLiter,Method024,Method029
Giles,1990,4,whole_column,Cyclopoid copepod,unidentified,Abundance,1.09,NumberPerLiter,Method026,Method028
Giles,1990,5,whole_column,Cyclopoid copepod,unidentified,Abundance,0,NumberPerLiter,Method024,Method029
Giles,1990,5,whole_column,Cyclopoid copepod,unidentified,Abundance,1.2,NumberPerLiter,Method026,Method028
Giles,1990,6,whole_column,Cyclopoid copepod,unidentified,Abundance,0.16,NumberPerLiter,Method024,Method029
Giles,1990,6,whole_column,Cyclopoid copepod,unidentified,Abundance,0.67,NumberPerLiter,Method026,Method028
Giles,1990,7,whole_column,Cyclopoid copepod,unidentified,Abundance,0.72,NumberPerLiter,Method024,Method029
Giles,1990,7,whole_column,Cyclopoid copepod,unidentified,Abundance,0.17,NumberPerLiter,Method026,Method028
Giles,1990,8,whole_column,Cyclopoid copepod,unidentified,Abundance,1.45,NumberPerLiter,Method024,Method029
Giles,1990,8,whole_column,Cyclopoid copepod,unidentified,Abundance,0.22,NumberPerLiter,Method026,Method028
Giles,1990,9,whole_column,Cyclopoid copepod,unidentified,Abundance,0.81,NumberPerLiter,Method024,Method029
Giles,1990,9,whole_column,Cyclopoid copepod,unidentified,Abundance,0.05,NumberPerLiter,Method026,Method028
Giles,1990,10,whole_column,Cyclopoid copepod,unidentified,Abundance,2.09,NumberPerLiter,Method024,Method029
Giles,1990,10,whole_column,Cyclopoid copepod,unidentified,Abundance,0.01,NumberPerLiter,Method026,Method028
Giles,1990,11,whole_column,Cyclopoid copepod,unidentified,Abundance,3.83,NumberPerLiter,Method024,Method029
Giles,1990,11,whole_column,Cyclopoid copepod,unidentified,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,12,whole_column,Cyclopoid copepod,unidentified,Abundance,4.04,NumberPerLiter,Method024,Method029
Giles,1990,12,whole_column,Cyclopoid copepod,unidentified,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1991,1,whole_column,Cyclopoid copepod,unidentified,Abundance,1.49,NumberPerLiter,Method024,Method029
Giles,1991,1,whole_column,Cyclopoid copepod,unidentified,Abundance,0.06,NumberPerLiter,Method026,Method028
Giles,1991,2,whole_column,Cyclopoid copepod,unidentified,Abundance,0.45,NumberPerLiter,Method024,Method029
Giles,1991,2,whole_column,Cyclopoid copepod,unidentified,Abundance,0.26,NumberPerLiter,Method026,Method028
Giles,1991,3,whole_column,Cyclopoid copepod,unidentified,Abundance,0.84,NumberPerLiter,Method024,Method029
Giles,1991,3,whole_column,Cyclopoid copepod,unidentified,Abundance,0.52,NumberPerLiter,Method026,Method028
Giles,1991,4,whole_column,Cyclopoid copepod,unidentified,Abundance,0.73,NumberPerLiter,Method024,Method029
Giles,1991,4,whole_column,Cyclopoid copepod,unidentified,Abundance,0.31,NumberPerLiter,Method026,Method028
Giles,1991,5,whole_column,Cyclopoid copepod,unidentified,Abundance,1.84,NumberPerLiter,Method024,Method029
Giles,1991,5,whole_column,Cyclopoid copepod,unidentified,Abundance,1.31,NumberPerLiter,Method026,Method028
Giles,1991,6,whole_column,Cyclopoid copepod,unidentified,Abundance,1.81,NumberPerLiter,Method024,Method029
Giles,1991,6,whole_column,Cyclopoid copepod,unidentified,Abundance,1.53,NumberPerLiter,Method026,Method028
Giles,1991,7,whole_column,Cyclopoid copepod,unidentified,Abundance,0.65,NumberPerLiter,Method024,Method029
Giles,1991,7,whole_column,Cyclopoid copepod,unidentified,Abundance,0.72,NumberPerLiter,Method026,Method028
Giles,1991,8,whole_column,Cyclopoid copepod,unidentified,Abundance,0.37,NumberPerLiter,Method024,Method029
Giles,1991,8,whole_column,Cyclopoid copepod,unidentified,Abundance,0.37,NumberPerLiter,Method026,Method028
Giles,1991,9,whole_column,Cyclopoid copepod,unidentified,Abundance,0.34,NumberPerLiter,Method024,Method029
Giles,1991,9,whole_column,Cyclopoid copepod,unidentified,Abundance,0.23,NumberPerLiter,Method026,Method028
Giles,1991,10,whole_column,Cyclopoid copepod,unidentified,Abundance,0.23,NumberPerLiter,Method024,Method029
Giles,1991,10,whole_column,Cyclopoid copepod,unidentified,Abundance,0.01,NumberPerLiter,Method026,Method028
Giles,1991,11,whole_column,Cyclopoid copepod,unidentified,Abundance,0.3,NumberPerLiter,Method024,Method029
Giles,1991,11,whole_column,Cyclopoid copepod,unidentified,Abundance,0.01,NumberPerLiter,Method026,Method028
Giles,1991,12,whole_column,Cyclopoid copepod,unidentified,Abundance,0.11,NumberPerLiter,Method024,Method029
Giles,1991,12,whole_column,Cyclopoid copepod,unidentified,Abundance,0.02,NumberPerLiter,Method026,Method028
Giles,1992,1,whole_column,Cyclopoid copepod,unidentified,Abundance,0.49,NumberPerLiter,Method024,Method029
Giles,1992,1,whole_column,Cyclopoid copepod,unidentified,Abundance,0.04,NumberPerLiter,Method026,Method028
Giles,1992,2,whole_column,Cyclopoid copepod,unidentified,Abundance,0.74,NumberPerLiter,Method024,Method029
Giles,1992,2,whole_column,Cyclopoid copepod,unidentified,Abundance,0.08,NumberPerLiter,Method026,Method028
Giles,1992,4,whole_column,Cyclopoid copepod,unidentified,Abundance,0.12,NumberPerLiter,Method024,Method029
Giles,1992,4,whole_column,Cyclopoid copepod,unidentified,Abundance,0.04,NumberPerLiter,Method026,Method028
Giles,1992,5,whole_column,Cyclopoid copepod,unidentified,Abundance,0.33,NumberPerLiter,Method024,Method029
Giles,1992,5,whole_column,Cyclopoid copepod,unidentified,Abundance,0.31,NumberPerLiter,Method026,Method028
Giles,1992,6,whole_column,Cyclopoid copepod,unidentified,Abundance,0.1,NumberPerLiter,Method024,Method029
Giles,1992,6,whole_column,Cyclopoid copepod,unidentified,Abundance,0.24,NumberPerLiter,Method026,Method028
Giles,1992,7,whole_column,Cyclopoid copepod,unidentified,Abundance,0.1,NumberPerLiter,Method024,Method029
Giles,1992,7,whole_column,Cyclopoid copepod,unidentified,Abundance,0.04,NumberPerLiter,Method026,Method028
Giles,1992,8,whole_column,Cyclopoid copepod,unidentified,Abundance,0.18,NumberPerLiter,Method024,Method029
